curbcut	stopid
Yes	"2,013"
No	"19,388"
Yes	"19,415"
No	"15,267"
Yes	"18,639"
Yes	"18,640"
Yes	"18,647"
Yes	"18,648"
Yes	"18,650"
Yes	"18,652"
Yes	"18,653"
Yes	"20,085"
Yes	"19,833"
Yes	"20,188"
Yes	"1,940"
No	"16,402"
Yes	"19,352"
Yes	"19,354"
Yes	"17,218"
Yes	"17,403"
Yes	"17,405"
Yes	"17,411"
Yes	"17,777"
No	"20,418"
Yes	"15,617"
Yes	"16,993"
Yes	"19,287"
Yes	"19,288"
Yes	"19,291"
Yes	"2,002"
Yes	"1,990"
Yes	"2,106"
Yes	"20,150"
No	"18,377"
No	"1,945"
Yes	"15,327"
Yes	"1,959"
No	"1,948"
Yes	"1,636"
Yes	"22,604"
No	"1,476"
No	"22,603"
No	"23,055"
Yes	"22,335"
Yes	"22,493"
Yes	"22,515"
No	"23,060"
No	"23,071"
Yes	"23,084"
No	"6,707"
No	"8,510"
No	"1,875"
No	"18,333"
Yes	"18,343"
Yes	"18,350"
Yes	"18,351"
Yes	"1,816"
Yes	"18,308"
Yes	"2,113"
No	"20,271"
Yes	"23,119"
Yes	"16,098"
Yes	"16,100"
Yes	"16,111"
Yes	"16,115"
Yes	"16,129"
Yes	"16,506"
Yes	"16,509"
Yes	"16,576"
Yes	"16,589"
Yes	"16,592"
No	"1,679"
No	"1,672"
No	"1,781"
No	"1,496"
Yes	"21,032"
Yes	"21,041"
Yes	"21,062"
Yes	"21,078"
Yes	"21,087"
Yes	"21,105"
Yes	"21,109"
Yes	"18,723"
Yes	"18,729"
Yes	"14,998"
No	"18,734"
Yes	"18,737"
No	410
Yes	"20,296"
No	"20,310"
No	"20,322"
No	"1,509"
No	272
No	"1,455"
Yes	"21,208"
Yes	"2,821"
Yes	"21,118"
No	"21,120"
Yes	"18,767"
Yes	"19,005"
Yes	"19,008"
No	"19,009"
Yes	"19,010"
No	"19,021"
Yes	"19,028"
Yes	"19,031"
Yes	"2,453"
No	"15,159"
No	"1,467"
No	"1,472"
No	"1,485"
No	"17,985"
Yes	"19,066"
No	"18,467"
No	253
No	"21,131"
No	"21,139"
No	"21,144"
Yes	"17,049"
Yes	"17,055"
No	265
Yes	"1,684"
Yes	"1,697"
No	"1,703"
Yes	"1,708"
No	"1,409"
No	"1,413"
No	"1,416"
Yes	82
Yes	"1,284"
Yes	"16,834"
